,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
0,1,10/08/2018 20:00,Old Trafford,Man Utd,Leicester,2 - 1,D,20.498171658164114,60.999405621444666,18.50242272039121
1,1,11/08/2018 12:30,St. James' Park,Newcastle,Spurs,1 - 2,D,11.2389561034365,66.02112235487465,22.739921541688847
2,1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff,2 - 0,D,21.358408128718658,58.56306996385976,20.07852190742158
3,1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace,0 - 2,A,99.6491912094444,0.350706019435519,0.00010277112008617856
4,1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea,0 - 3,D,15.863578882276089,67.33521260690365,16.80120851082026
5,1,11/08/2018 15:00,Vicarage Road,Watford,Brighton,2 - 0,D,22.046346854642227,55.830139763646194,22.123513381711575
6,1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton,2 - 2,H,0.0001057748631447022,0.20612674914254545,99.79376747599431
7,1,12/08/2018 13:30,Anfield,Liverpool,West Ham,4 - 0,D,19.445792561353116,63.32262934453075,17.231578094116124
8,1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley,0 - 0,D,16.879745302280465,59.123821613633076,23.99643308408645
9,1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City,0 - 2,D,18.36311008748563,57.026333449241775,24.610556463272598
10,2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle,0 - 0,D,13.102389198609723,59.50765646853444,27.389954332855837
11,2,18/08/2018 15:00,Goodison Park,Everton,Southampton,2 - 1,D,21.780233441311196,55.35982201562907,22.859944543059736
12,2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves,2 - 0,D,27.047120737880892,46.83353873955251,26.11934052256661
13,2,18/08/2018 15:00,Wembley Stadium,Spurs,Fulham,3 - 1,D,19.890213729370583,57.979297981013424,22.130488289615993
14,2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 2,D,15.37067216439214,66.52534895037671,18.10397888523116
15,2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal,3 - 2,D,17.11134105307435,58.19497750245265,24.693681444472993
16,2,19/08/2018 13:30,Turf Moor,Burnley,Watford,1 - 3,D,18.474332222773658,63.26327363107055,18.262394146155795
17,2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield,6 - 1,D,23.74765609126735,53.76414523710024,22.488198671632432
18,2,19/08/2018 16:00,Amex Stadium,Brighton,Man Utd,3 - 2,D,18.67668870402811,63.389590901879224,17.93372039409265
19,2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool,0 - 2,D,17.217416409013946,66.42805208287245,16.35453150811359
20,3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City,1 - 1,D,21.75523983820382,58.52344474632375,19.72131541547243
21,3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham,3 - 1,D,15.256220708597294,65.0239327340263,19.719846557376396
22,3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton,2 - 2,H,7.910775885346314e-05,0.17817170188718837,99.82174919035397
23,3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff,0 - 0,D,19.6345533960876,60.197842331980866,20.16760427193153
24,3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester,1 - 2,D,22.909149542445565,60.57767302515897,16.513177432395462
25,3,25/08/2018 17:30,Anfield,Liverpool,Brighton,1 - 0,D,28.58759756056375,51.074707564097984,20.33769487533828
26,3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace,2 - 1,A,99.65335208355542,0.3465512846869824,9.663175759003077e-05
27,3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley,4 - 2,D,17.44828471564809,57.63788312623232,24.9138321581196
28,3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea,1 - 2,D,13.87811756486466,70.00815764635315,16.113724788782182
29,3,27/08/2018 20:00,Old Trafford,Man Utd,Spurs,0 - 3,D,10.906435427487093,62.98050369893191,26.113060873580977
30,4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool,1 - 2,D,22.372768632234592,53.949795177262494,23.67743619050291
31,4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham,2 - 2,D,12.761631947916479,61.76881639378065,25.469551658302876
32,4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth,2 - 0,D,15.481441563750636,63.19742051109536,21.321137925153995
33,4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton,0 - 2,D,18.363943625134123,65.25337463252112,16.382681742344758
34,4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield,1 - 1,D,20.124027234657664,56.65626431986147,23.21970844548085
35,4,01/09/2018 15:00,London Stadium,West Ham,Wolves,0 - 1,D,23.419861115077364,55.76222216261304,20.817916722309594
36,4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle,2 - 1,D,15.161839178621747,54.50313557140585,30.335025249972407
37,4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal,2 - 3,D,18.999357174854815,57.93315607304715,23.067486752098027
38,4,02/09/2018 16:00,Turf Moor,Burnley,Man Utd,0 - 2,D,26.737689252982022,59.45415960678994,13.808151140228025
39,4,02/09/2018 16:00,Vicarage Road,Watford,Spurs,2 - 1,D,13.17994456839463,63.02238818947041,23.797667242134956
40,5,15/09/2018 12:30,Wembley Stadium,Spurs,Liverpool,1 - 2,D,20.173678313464364,57.787561520967024,22.038760165568604
41,5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester,4 - 2,D,25.543781732738324,58.18986314139919,16.266355125862486
42,5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff,4 - 1,D,20.887327798723497,57.7789438764931,21.3337283247834
43,5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 1,A,99.64170963341535,0.35819160562756375,9.87609570758194e-05
44,5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham,3 - 0,D,23.851942493775475,53.86734840141183,22.280709104812697
45,5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal,1 - 2,D,14.14276328088791,63.35573503453939,22.501501684572688
46,5,15/09/2018 17:30,Vicarage Road,Watford,Man Utd,1 - 2,D,25.368544669410326,60.70058500120988,13.930870329379786
47,5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley,1 - 0,D,21.978448131867083,57.383150561703665,20.638401306429248
48,5,16/09/2018 16:00,Goodison Park,Everton,West Ham,1 - 3,D,16.541612626279935,62.839910521277616,20.618476852442438
49,5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton,2 - 2,D,20.920020509758807,56.849853743566634,22.23012574667455
50,6,22/09/2018 12:30,Craven Cottage,Fulham,Watford,1 - 1,D,17.102295905521974,63.77788585964449,19.119818234833527
51,6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth,4 - 0,D,15.76856365315718,64.13804073589553,20.093395610947297
52,6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City,0 - 5,D,20.32317969965356,57.15365584844666,22.52316445189978
53,6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle,0 - 0,D,10.727954950696448,67.04284854569461,22.229196503608943
54,6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 1,D,21.965374584264623,54.03349482573782,24.00113058999756
55,6,22/09/2018 15:00,Anfield,Liverpool,Southampton,3 - 0,D,25.47826528779519,55.510813222613464,19.010921489591347
56,6,22/09/2018 15:00,Old Trafford,Man Utd,Wolves,1 - 1,D,18.997664479319727,55.24159339252795,25.760742128152327
57,6,22/09/2018 17:30,Amex Stadium,Brighton,Spurs,1 - 2,D,9.140819429242294,61.99935169429938,28.859828876458334
58,6,23/09/2018 13:30,London Stadium,West Ham,Chelsea,0 - 0,D,16.775331855556548,68.11540599283015,15.109262151613304
59,6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton,2 - 0,H,7.15773586066267e-05,0.16102405358246444,99.83890436905894
60,7,29/09/2018 12:30,London Stadium,West Ham,Man Utd,3 - 1,D,26.018476813592045,61.56175459469172,12.419768591716245
61,7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford,2 - 0,D,18.21630903918696,61.98282635691575,19.80086460389729
62,7,29/09/2018 15:00,Goodison Park,Everton,Fulham,3 - 0,D,20.21585976761446,56.774733625898676,23.009406606486866
63,7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Spurs,0 - 2,D,12.839483164627941,63.464000815783685,23.69651601958838
64,7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton,2 - 0,D,28.593029921294534,47.923859227268125,23.48311085143736
65,7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester,0 - 2,D,20.87680599541816,63.198702742605185,15.924491261976659
66,7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton,2 - 0,D,23.773206267411386,58.72530294249432,17.501490790094294
67,7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool,1 - 1,D,18.988103497327423,59.38341025514935,21.628486247523224
68,7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley,1 - 2,D,20.502522264975003,55.96042568032787,23.53705205469712
69,7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1,A,99.67944877349103,0.32046080342367866,9.042308527212485e-05
70,8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham,1 - 0,D,10.274446540307183,67.26920945238382,22.456344007308996
71,8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,1 - 1,D,18.986083174942667,60.35439459469212,20.659522230365216
72,8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,0 - 1,D,21.56474133946679,59.743911570268004,18.691347090265214
73,8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,1 - 2,H,7.839803940359297e-05,0.13735457723980474,99.8625670247208
74,8,06/10/2018 15:00,Wembley Stadium,Spurs,Cardiff,1 - 0,D,22.15689683699224,56.13857513958869,21.704528023419073
75,8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,0 - 4,D,14.854787522431915,65.01730259391783,20.127909883650254
76,8,06/10/2018 17:30,Old Trafford,Man Utd,Newcastle,3 - 2,D,9.258498630441,60.728515858466395,30.012985511092616
77,8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,1 - 5,D,16.127822985809246,59.51762529912621,24.354551715064545
78,8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,0 - 3,D,15.376252508681471,67.75293296709508,16.870814524223444
79,8,07/10/2018 16:30,Anfield,Liverpool,Man City,0 - 0,D,23.30210546042746,55.28806572721944,21.40982881235311
80,9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man Utd,2 - 2,D,26.38674840092382,58.88553838020252,14.727713218873658
81,9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton,0 - 0,D,20.662766286376755,58.99208367553814,20.34515003808511
82,9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham,4 - 2,D,20.7066967545671,59.083391558026776,20.20991168740612
83,9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley,5 - 0,D,23.479259312990518,50.72305004236362,25.797690644645876
