,Team,Games,Wins,Win Rate,Losses,Draws,Goals scored,Scoring Rate,Goals Conceded,Shots,Shots on Target,Shots Against,Fouls,Yellow Cards,Red Cards
0,Man United,363,170,0.46831955922865015,109,84,647,0.8718811881188119,364,5050,2218,4047,4010,615,21
1,Bournemouth,173,79,0.45664739884393063,53,41,221,0.8916135360470819,297,2039,694,2367,1606,261,7
2,Fulham,190,90,0.47368421052631576,54,46,221,0.9019520851818988,320,2254,1093,2829,1985,278,7
3,Huddersfield,76,33,0.4342105263157895,26,17,50,0.9342105263157895,134,760,229,961,816,116,7
4,Newcastle,325,157,0.48307692307692307,95,73,385,0.9013073570879262,491,3901,1600,4150,3543,531,32
5,Watford,173,82,0.47398843930635837,52,39,193,0.9025252525252525,275,1980,629,2212,2093,343,19
6,Wolves,135,59,0.43703703703703706,41,35,163,0.8931847968545217,221,1526,674,1813,1420,234,9
7,Arsenal,363,177,0.48760330578512395,103,83,674,0.8730218538055765,418,5308,2356,4034,3655,587,33
8,Liverpool,362,168,0.46408839779005523,108,86,693,0.8804141501294219,391,5795,2458,3536,3615,509,20
9,Southampton,287,118,0.41114982578397213,88,81,364,0.9033457249070632,387,3766,1346,3345,3220,438,20
10,Cardiff,76,37,0.4868421052631579,26,13,66,0.9210526315789473,143,836,252,1263,726,114,2
11,Chelsea,363,169,0.465564738292011,115,79,658,0.8853258975252701,369,5738,2368,3789,3692,579,25
12,Everton,363,169,0.465564738292011,86,108,508,0.8922815945716709,449,4716,1973,4429,3994,559,28
13,Leicester,211,98,0.46445497630331756,64,49,315,0.880772142316427,281,2642,906,2761,2239,299,18
14,Tottenham,363,167,0.46005509641873277,114,82,632,0.8883194910761618,403,5659,2444,4038,3742,582,23
15,West Ham,324,145,0.44753086419753085,93,86,409,0.8950205338809035,491,3896,1470,4770,3388,562,23
16,Brighton,97,47,0.4845360824742268,22,28,94,0.90748031496063,143,1016,315,1409,1095,144,8
17,Burnley,173,78,0.4508670520231214,54,41,172,0.9028248587570622,249,1770,555,2744,1786,306,5
18,Man City,363,184,0.5068870523415978,119,60,812,0.8666666666666667,325,6090,2586,3171,3807,615,25
19,Crystal Palace,249,98,0.39357429718875503,97,54,284,0.903038579720041,344,2929,937,3408,2903,417,10
